,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklWon,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Dribbler_Tkl,Tkl_Att,Tkl%,Dribbled_past,Total_blocks,Shots_Blocked,Passes_Blocked,Int,Tkl+Int,Clr,Err,Gls,Total_shots,SoT,SoT%,shots/90,SoT/90,G/Sh,G/SoT,avg_shot_distance,freekick_shots,PK_scored,PKatt,xG,npxG,npxG/Sh,G-xG,npG-npxG,SCA,SCA90,live_pass_to_shot,dead_pass_to_shot,Drib_to_shot,Shot_to_shot,Foul_drawn_to_shot,Def_action_to_shot,GCA,GCA90,live_pass_to_goal,dead_pass_to_goal,Drib_to_goal,Shot_to_goal,Foul_drawn_to_goal,Def_action_to_goal,passes_cmp,passes_att,passes_cmp%,Pass_total_dist,Prg_pass_dist,pass_5_15_cmp,pass_5_15_att,pass_5_15_cmp%,pass_15_30_cmp,pass_15_30_att,pass_15_30_cmp%,pass_30_cmp,pass_30_att,pass_30_cmp%,Ast,xAG,xA,A-xAG,direct_pass_to_shot,pass_into_att_3rd,pass_cmp_into_18_yards,cross_cmp_into_18_yards,prg_pass_opponent_area,MP,Starts,Min,G-PK,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,npxG+xAG,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG.1,Live_ball_passes,Dead_ball_passes,FK_pass,pass_betn_defender,pass_40_yards,Crs,Thrown_Ins,CK,Inswinging_CK,Outswinging_CK,Straight_CK,offiside_passes,pass_blocked_by_opponent,Touches,Touches_def_penalty_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_penalty_area,Touches_live_ball,Dribble_succ,Dribble_att,Dribble_succ%,failed_ball_control,lost_ball_after_tackle,received_pass_successfully,prog_pass_received,2CrdY,Foul_commited,Foul_drawn,Offsides,Tackles_to_win_possession,PKwon,PKcon,OG,recovered_balls,Aerial_duel_won,Aerial_duel_lost,Aerial_duel_won%
2400,Riccardo Saponara,it ITA,FW,Fiorentina,it Serie A,29,1991,14.3,10,2,1,6,3,6,16,37.5,10,5,0,5,1,11,3,0,3,37,14,37.8,2.59,0.98,0.08,0.21,20.1,0,0,0,2.9,2.9,0.08,0.1,0.1,62,4.34,46,0,5,5,6,0,8,0.56,6,0,0,1,1,0,427,555,76.9,7378,1930,204,249,81.9,171,208,82.2,40,55,72.7,3,3.3,2.6,-0.3,20,39,25,7,65,29,13,1284,3,1,0,0.21,0.21,0.42,0.21,0.42,6.2,0.2,0.23,0.43,0.2,0.43,545,8,5,0,13,28,2,1,0,0,0,2,19,699,7,86,291,329,68,699,20,53,37.7,32,19,575,76,0,6,24,4,2,1,0,0,59,5,9,35.7
2401,Pablo Sarabia,es ESP,FW,Paris S-G,fr Ligue 1,29,1992,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,100,4.09,4.09,1,1,3.6,0,0,0,0.8,0.8,0.83,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,65,182,8,7,7,100,4,6,66.7,0,3,0,0,0,0,0,0,0,0,0,0,2,0,22,1,1,0,4.09,0,4.09,4.09,4.09,0.8,3.54,0,3.54,3.54,3.54,19,1,1,0,0,2,0,0,0,0,0,0,1,24,0,0,9,15,1,24,1,1,100,2,0,21,0,0,1,1,0,0,0,0,0,0,0,0,
2402,Marcelo Saracchi,uy URU,DF,Levante,es La Liga,23,1998,2.1,8,5,6,1,1,2,4,50,2,3,0,3,4,12,7,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,6,2.9,5,1,0,0,0,0,1,0.48,1,0,0,0,0,0,86,107,80.4,1584,539,35,43,81.4,32,37,86.5,14,17,82.4,1,0.3,0.2,0.7,6,5,5,2,5,4,2,186,0,2,0,0,0.48,0.48,0,0.48,0.3,0,0.15,0.15,0,0.15,88,19,1,1,1,7,17,1,0,0,0,0,2,129,10,52,42,35,2,129,2,2,100,2,1,68,7,0,3,0,0,5,0,0,0,15,1,1,50
2403,Josh Sargent,us USA,"FW,MF",Norwich City,eng Premier League,21,2000,17.5,26,14,15,7,4,14,39,35.9,25,29,2,27,11,37,18,2,2,24,2,8.3,1.37,0.11,0.08,1,17.1,0,0,0,2.7,2.7,0.11,-0.7,-0.7,25,1.43,17,0,1,3,4,0,3,0.17,2,0,1,0,0,0,292,410,71.2,3577,820,208,258,80.6,63,96,65.6,8,16,50,1,0.9,1.2,0.1,11,8,5,0,11,26,18,1572,2,1,0,0.11,0.06,0.17,0.11,0.17,3.6,0.16,0.05,0.21,0.16,0.21,401,9,0,1,0,11,6,0,0,0,0,0,17,627,33,126,246,266,55,627,16,32,50,52,25,383,75,0,9,23,4,14,0,0,0,70,40,48,45.5
2404,Jeremy Sarmiento,ec ECU,"FW,MF",Brighton,eng Premier League,19,2002,0.5,1,1,0,0,1,0,2,0,2,2,0,2,0,1,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,70,156,37,8,12,66.7,5,5,100,0,0,,0,0,0,0,0,1,1,0,1,5,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,1,0,0,0,0,1,0,30,0,2,9,20,1,30,1,4,25,4,1,19,5,0,0,2,0,1,0,0,0,3,1,2,33.3
2405,Bouna Sarr,sn SEN,DF,Bayern Munich,de Bundesliga,29,1992,0.7,4,4,2,1,1,4,5,80,1,2,1,1,6,10,1,0,0,1,0,0,1.41,0,0,,17.9,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,40,70,429,101,17,18,94.4,8,14,57.1,1,2,50,0,0,0,0,0,1,0,0,3,5,0,64,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,35,5,0,0,0,3,5,0,0,0,0,0,3,58,2,17,23,20,5,58,4,5,80,0,0,28,3,0,0,0,0,4,0,0,0,6,0,2,0
2406,Ismaila Sarr,sn SEN,"FW,MF",Watford,eng Premier League,23,1998,20.7,12,7,4,3,5,5,19,26.3,14,10,1,9,9,21,10,0,5,39,15,38.5,1.89,0.73,0.13,0.33,18.3,0,0,1,5.7,4.9,0.12,-0.7,0.1,52,2.51,38,0,5,2,6,1,4,0.19,3,0,0,1,0,0,332,478,69.5,4981,1253,182,225,80.9,105,144,72.9,21,41,51.2,2,3.1,2.3,-1.1,21,21,22,4,38,22,21,1861,5,2,0,0.24,0.1,0.34,0.24,0.34,7.9,0.27,0.15,0.42,0.24,0.38,468,9,1,1,1,61,3,0,0,0,0,1,25,711,18,95,246,387,69,710,34,71,47.9,71,40,520,111,0,17,47,12,7,0,0,0,88,10,17,37
2407,Malang Sarr,fr FRA,DF,Chelsea,eng Premier League,22,1999,6.1,14,7,10,2,2,7,12,58.3,5,6,3,3,11,25,20,0,0,1,0,0,0.16,0,0,,21.6,0,0,0,0,0,0.05,0,0,6,0.99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,432,493,87.6,7202,2241,191,206,92.7,211,226,93.4,26,48,54.2,0,0.4,0.3,-0.4,3,36,2,1,15,8,6,546,0,2,0,0,0,0,0,0,0.4,0.01,0.06,0.07,0.01,0.07,457,36,14,2,1,4,22,0,0,0,0,0,3,551,29,204,300,48,0,551,0,0,,6,2,389,7,0,8,1,0,7,0,0,0,36,13,7,65
2408,Joan Sastre Vanrell,es ESP,DF,Mallorca,es La Liga,24,1997,2.9,6,3,5,0,1,3,4,75,1,3,0,3,2,8,10,0,0,2,0,0,0.7,0,0,,25.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,5,1.74,0,3,0,1,1,0,0,0,0,0,0,0,0,0,74,106,69.8,1391,650,30,41,73.2,30,40,75,12,20,60,0,0,0,0,0,4,0,0,2,7,2,258,0,1,0,0,0,0,0,0,0.1,0.03,0,0.03,0.03,0.03,84,20,1,0,0,6,19,0,0,0,0,2,0,135,14,57,53,25,1,135,3,5,60,2,2,71,4,0,3,6,0,3,0,1,0,10,4,3,57.1
2409,Giacomo Satalino,it ITA,GK,Sassuolo,it Serie A,22,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,22,22,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2410,Martin Satriano,uy URU,"FW,MF",Inter,it Serie A,20,2001,0.4,1,0,0,0,1,1,1,100,0,0,0,0,0,1,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,2.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,72.7,95,12,6,9,66.7,2,2,100,0,0,,0,0,0,0,1,0,0,0,0,4,0,38,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0,0.11,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,4,9,1,14,0,0,,2,1,8,3,0,1,0,0,0,0,0,0,2,1,3,25
2411,Martin Satriano,uy URU,FW,Brest,fr Ligue 1,20,2001,10.4,5,2,1,1,3,2,7,28.6,5,8,0,8,2,7,3,0,4,24,10,41.7,2.32,0.97,0.17,0.4,15.7,0,0,0,3.5,3.5,0.14,0.5,0.5,6,0.58,3,0,2,0,0,1,0,0,0,0,0,0,0,0,124,177,70.1,1835,340,68,91,74.7,37,50,74,9,15,60,0,0.2,0.1,-0.2,2,5,1,0,8,15,11,932,4,5,0,0.39,0,0.39,0.39,0.39,3.6,0.33,0.02,0.35,0.33,0.35,159,16,0,0,1,5,1,0,0,0,0,2,4,272,5,27,128,118,35,272,9,17,52.9,27,13,193,43,0,14,13,2,2,0,0,0,28,14,43,24.6
