,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklWon,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Dribbler_Tkl,Tkl_Att,Tkl%,Dribbled_past,Total_blocks,Shots_Blocked,Passes_Blocked,Int,Tkl+Int,Clr,Err,Gls,Total_shots,SoT,SoT%,shots/90,SoT/90,G/Sh,G/SoT,avg_shot_distance,freekick_shots,PK_scored,PKatt,xG,npxG,npxG/Sh,G-xG,npG-npxG,SCA,SCA90,live_pass_to_shot,dead_pass_to_shot,Drib_to_shot,Shot_to_shot,Foul_drawn_to_shot,Def_action_to_shot,GCA,GCA90,live_pass_to_goal,dead_pass_to_goal,Drib_to_goal,Shot_to_goal,Foul_drawn_to_goal,Def_action_to_goal,passes_cmp,passes_att,passes_cmp%,Pass_total_dist,Prg_pass_dist,pass_5_15_cmp,pass_5_15_att,pass_5_15_cmp%,pass_15_30_cmp,pass_15_30_att,pass_15_30_cmp%,pass_30_cmp,pass_30_att,pass_30_cmp%,Ast,xAG,xA,A-xAG,direct_pass_to_shot,pass_into_att_3rd,pass_cmp_into_18_yards,cross_cmp_into_18_yards,prg_pass_opponent_area,MP,Starts,Min,G-PK,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,npxG+xAG,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG.1,Live_ball_passes,Dead_ball_passes,FK_pass,pass_betn_defender,pass_40_yards,Crs,Thrown_Ins,CK,Inswinging_CK,Outswinging_CK,Straight_CK,offiside_passes,pass_blocked_by_opponent,Touches,Touches_def_penalty_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_penalty_area,Touches_live_ball,Dribble_succ,Dribble_att,Dribble_succ%,failed_ball_control,lost_ball_after_tackle,received_pass_successfully,prog_pass_received,2CrdY,Foul_commited,Foul_drawn,Offsides,Tackles_to_win_possession,PKwon,PKcon,OG,recovered_balls,Aerial_duel_won,Aerial_duel_lost,Aerial_duel_won%
170,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2,3,3,1,2,0,1,1,100,0,3,1,2,3,6,5,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,84,94,1670,707,16,17,94.1,49,51,96.1,13,14,92.9,0,0,0,0,0,3,0,0,7,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3,3,0,1,0,0,0,0,0,0,0,0,97,16,46,51,1,1,97,0,0,,0,0,65,0,0,4,2,0,3,0,0,0,11,4,2,66.7
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,186,69.9,3466,2833,29,29,100,67,67,100,34,89,38.2,0,0,0,0,0,2,0,0,0,7,4,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,58,14,0,1,0,0,0,0,0,0,1,0,204,167,202,2,0,0,204,0,0,,0,0,68,0,0,0,0,0,0,0,0,0,10,3,1,75
172,Nedim Bajrami,al ALB,"MF,FW",Empoli,it Serie A,22,1999,22.8,21,14,5,13,3,4,14,28.6,10,11,0,11,3,24,8,0,6,51,18,35.3,2.23,0.79,0.06,0.17,21,8,3,3,7,4.7,0.09,-1,-1.7,104,4.55,66,21,8,5,1,3,7,0.31,5,1,0,1,0,0,621,898,69.2,9775,3179,327,387,84.5,220,286,76.9,50,149,33.6,5,5.6,4.9,-0.6,54,49,44,8,82,35,23,2054,3,3,0,0.26,0.22,0.48,0.13,0.35,10.2,0.31,0.24,0.55,0.2,0.45,730,163,32,5,4,156,8,97,40,47,0,5,31,1102,10,77,439,605,88,1099,42,71,59.2,55,34,737,128,0,16,14,7,14,0,0,0,91,0,14,0
173,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,1991,4,2,0,1,0,1,0,3,0,3,2,0,2,0,2,1,0,4,19,8,42.1,4.8,2.02,0.21,0.5,13.4,0,0,0,2.8,2.8,0.15,1.2,1.2,13,3.3,11,0,1,1,0,0,3,0.76,3,0,0,0,0,0,50,67,74.6,684,148,30,34,88.2,15,23,65.2,1,3,33.3,0,0.9,0.3,-0.9,7,3,1,0,4,12,5,356,4,1,0,1.01,0,1.01,1.01,1.01,3.7,0.71,0.22,0.93,0.71,0.93,62,5,0,0,0,3,1,0,0,0,0,0,0,113,2,8,34,71,28,113,1,2,50,10,1,82,29,0,6,2,5,0,0,0,0,5,7,11,38.9
174,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,15,9,12,3,0,8,12,66.7,4,5,4,1,11,26,16,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,3,0.88,2,0,0,0,1,0,0,0,0,0,0,0,0,0,93,136,68.4,1619,718,37,43,86,46,59,78,7,26,26.9,0,0,0,0,0,6,1,0,8,4,4,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,4,4,0,0,0,0,0,0,0,0,0,4,196,15,109,89,1,1,196,4,5,80,6,2,91,0,0,7,5,0,9,0,0,0,25,4,4,50
175,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,5.6,19,13,9,7,3,5,16,31.3,11,8,1,7,9,28,10,2,0,4,0,0,0.72,0,0,,21,0,0,0,0.3,0.3,0.08,-0.3,-0.3,7,1.26,6,0,0,0,0,1,0,0,0,0,0,0,0,0,269,304,88.5,4451,1013,140,156,89.7,91,98,92.9,32,36,88.9,0,0.3,0.3,-0.3,3,27,2,0,18,14,5,501,0,3,0,0,0,0,0,0,0.6,0.06,0.06,0.12,0.06,0.12,303,1,1,0,2,1,0,0,0,0,0,0,3,372,16,83,236,57,4,372,4,7,57.1,3,4,240,1,0,12,10,0,13,0,1,0,33,16,8,66.7
176,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,2000,20.2,33,22,16,12,5,20,34,58.8,14,13,2,11,23,56,42,3,1,9,3,33.3,0.44,0.15,0.11,0.33,20.6,0,0,0,0.7,0.7,0.08,0.3,0.3,37,1.83,34,0,1,1,1,0,6,0.3,6,0,0,0,0,0,994,1228,80.9,14581,5275,564,633,89.1,336,404,83.2,51,107,47.7,4,2.1,2.1,1.9,13,75,21,10,54,25,19,1822,1,6,0,0.05,0.2,0.25,0.05,0.25,2.7,0.03,0.1,0.14,0.03,0.14,1046,181,15,2,6,37,166,0,0,0,0,1,28,1427,66,390,769,287,26,1427,28,49,57.1,36,14,886,49,0,15,19,0,22,0,1,0,147,13,13,50
177,Ridle Baku,de GER,"DF,FW",Wolfsburg,de Bundesliga,23,1998,27.2,62,37,30,24,8,25,65,38.5,40,43,1,42,21,83,52,1,3,36,8,22.2,1.32,0.29,0.08,0.38,21.2,0,0,0,2.2,2.2,0.06,0.8,0.8,82,3.02,60,4,4,7,7,0,9,0.33,5,0,0,1,3,0,1011,1338,75.6,17055,5684,485,568,85.4,414,521,79.5,87,155,56.1,5,4.9,5.4,0.1,39,67,36,11,94,34,28,2446,3,4,0,0.11,0.18,0.29,0.11,0.29,7,0.08,0.18,0.26,0.08,0.26,1109,222,17,2,5,73,200,5,1,0,0,7,31,1671,50,453,733,505,60,1671,36,71,50.7,60,23,983,113,0,28,37,9,37,0,0,0,166,28,35,44.4
178,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,18,2002,0.5,1,1,0,1,0,1,2,50,1,0,0,0,0,1,1,0,0,2,1,50,4.19,2.09,0,0,18,0,0,0,0.2,0.2,0.08,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,50,107,23,2,5,40,2,4,50,1,2,50,0,0,0,0,0,0,0,0,0,5,0,43,0,0,0,0,0,0,0,0,0.2,0.31,0,0.31,0.31,0.31,13,1,0,0,0,0,0,0,0,0,0,0,0,24,1,2,13,9,2,24,1,3,33.3,1,1,14,2,0,2,1,0,1,0,0,0,2,3,1,75
179,Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,83.3,35,0,4,4,100,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0,0.13,6,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,2,8,0,10,0,0,,2,0,8,1,0,0,0,0,0,0,0,0,1,0,0,
180,Alejandro Balde,es ESP,"DF,FW",Barcelona,es La Liga,17,2003,2.1,2,1,1,0,1,0,0,,0,2,2,0,1,3,1,0,0,1,0,0,0.48,0,0,,19.3,0,0,0,0,0,0.04,0,0,3,1.44,2,0,0,0,1,0,0,0,0,0,0,0,0,0,138,150,92,1779,312,93,96,96.9,37,41,90.2,3,6,50,0,0.1,0.2,-0.1,1,6,3,2,6,5,2,188,0,0,0,0,0,0,0,0,0.1,0.02,0.03,0.05,0.02,0.05,143,7,2,0,0,6,5,0,0,0,0,0,2,177,2,23,95,59,6,177,1,5,20,4,3,142,6,0,4,4,0,1,0,0,0,13,0,2,0
181,Ibrahima Baldé,fr FRA,"FW,MF",Lens,fr Ligue 1,18,2003,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,1.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,11,63.6,105,26,3,6,50,4,5,80,0,0,,0,0,0,0,1,0,0,0,0,4,0,58,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,9,2,0,0,0,1,1,0,0,0,0,0,0,16,0,1,7,8,1,16,0,2,0,3,0,10,2,0,0,0,1,0,0,0,0,0,2,1,66.7
182,Keita Baldé,sn SEN,FW,Cagliari,it Serie A,26,1995,13.7,8,4,1,5,2,1,10,10,9,6,0,6,4,12,6,0,3,27,11,40.7,1.98,0.81,0.11,0.27,13.3,0,0,0,3.9,3.9,0.15,-0.9,-0.9,23,1.68,14,0,1,4,3,1,2,0.15,1,0,0,0,1,0,187,260,71.9,2522,464,106,128,82.8,51,74,68.9,10,13,76.9,1,0.7,1.2,0.3,10,14,6,0,14,26,14,1229,3,2,0,0.22,0.07,0.29,0.22,0.29,4.6,0.29,0.05,0.34,0.29,0.34,248,12,1,1,1,8,0,0,0,0,0,0,6,409,6,22,182,209,52,409,6,18,33.3,49,10,301,70,0,27,30,9,4,1,1,0,33,20,46,30.3
183,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,3.1,2,1,1,0,1,1,4,25,3,2,0,2,2,4,1,0,1,15,6,40,4.82,1.93,0.07,0.17,19.7,2,0,0,1.3,1.3,0.09,-0.3,-0.3,2,0.64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,65,69.2,668,177,25,31,80.6,16,21,76.2,3,5,60,0,0.1,0.1,-0.1,2,3,3,2,4,5,4,280,1,2,0,0.32,0,0.32,0.32,0.32,1.5,0.43,0.04,0.47,0.43,0.47,62,0,0,0,1,3,0,0,0,0,0,3,2,97,0,12,32,53,13,97,1,4,25,5,2,73,8,0,3,0,1,1,0,0,0,4,7,5,58.3
184,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,33,1988,22.5,33,24,15,15,3,25,43,58.1,18,27,4,23,21,54,79,0,0,7,2,28.6,0.31,0.09,0,0,24.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,23,1.02,19,2,0,1,1,0,1,0.04,0,0,0,0,1,0,765,1013,75.5,11605,4473,430,484,88.8,256,349,73.4,48,112,42.9,0,0.6,0.7,-0.6,8,49,13,7,52,26,23,2027,0,2,0,0,0,0,0,0,0.8,0.01,0.02,0.04,0.01,0.04,794,217,20,0,5,51,197,0,0,0,0,2,23,1210,87,363,606,251,10,1210,6,12,50,13,12,563,21,0,21,12,1,24,0,0,0,125,33,18,64.7
185,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22,1999,10.6,9,6,9,0,0,5,14,35.7,9,11,4,7,19,28,30,0,0,2,0,0,0.19,0,0,,10.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,6,0.57,3,1,1,1,0,0,2,0.19,1,1,0,0,0,0,753,819,91.9,14191,4930,269,283,95.1,396,418,94.7,80,107,74.8,0,0.1,0.1,-0.1,1,32,0,0,31,17,10,950,0,4,1,0,0,0,0,0,0.2,0.01,0.01,0.02,0.01,0.02,794,25,25,0,4,0,0,0,0,0,0,0,3,919,79,404,507,11,4,919,11,13,84.6,8,6,677,1,0,10,5,0,6,0,0,0,78,17,13,56.7
186,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,29,1992,35,45,22,25,11,9,19,31,61.3,12,24,5,19,39,84,64,0,1,15,3,20,0.43,0.09,0.07,0.33,19.9,0,0,0,1.1,1.1,0.08,-0.1,-0.1,94,2.69,68,13,6,2,3,2,5,0.14,4,0,1,0,0,0,1350,1796,75.2,22969,10202,663,741,89.5,521,672,77.5,135,269,50.2,2,3.9,4.8,-1.9,44,97,36,27,100,35,35,3147,1,10,1,0.03,0.06,0.09,0.03,0.09,5,0.03,0.11,0.14,0.03,0.14,1331,460,33,1,7,111,426,1,1,0,0,5,48,2072,88,532,929,643,37,2072,22,54,40.7,40,20,1096,46,0,42,57,4,22,0,3,0,166,23,33,41.1
187,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,24,1997,5,18,14,5,13,0,4,9,44.4,5,6,2,4,3,21,5,0,0,2,1,50,0.4,0.2,0,0,14.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,13,2.62,11,0,1,0,1,0,2,0.4,2,0,0,0,0,0,230,272,84.6,3621,957,121,134,90.3,92,106,86.8,11,16,68.8,0,0.2,0.7,-0.2,4,13,8,3,15,10,5,446,0,2,0,0,0,0,0,0,0.5,0.05,0.04,0.09,0.05,0.09,234,37,6,0,0,18,31,0,0,0,0,1,4,323,9,61,161,104,12,323,5,10,50,5,6,196,28,0,12,10,1,14,0,1,0,35,5,9,35.7
188,Folarin Balogun,eng ENG,FW,Arsenal,eng Premier League,20,2001,0.8,1,1,0,0,1,0,0,,0,1,0,1,0,1,1,0,0,3,0,0,3.86,0,0,,14.4,0,0,0,0.3,0.3,0.11,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,44.4,46,7,3,4,75,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,0,2,1,70,0,0,0,0,0,0,0,0,0.3,0.44,0,0.44,0.44,0.44,9,0,0,1,0,0,0,0,0,0,0,0,1,22,1,2,7,13,6,22,0,2,0,4,0,14,4,0,0,1,1,1,0,0,0,2,1,3,25
189,Abdoulaye Bamba,ci CIV,"DF,FW",Angers,fr Ligue 1,31,1990,5.1,6,5,6,0,0,4,11,36.4,7,5,1,4,9,15,13,0,0,1,0,0,0.2,0,0,,7.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,7,1.38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,140,183,76.5,2236,914,70,79,88.6,56,74,75.7,8,19,42.1,0,0.1,0.1,-0.1,2,7,2,1,11,10,4,458,0,1,0,0,0,0,0,0,0.2,0.02,0.02,0.04,0.02,0.04,138,45,3,0,0,10,42,0,0,0,0,0,6,233,18,81,89,65,6,233,0,1,0,10,1,112,6,0,5,6,0,5,0,0,1,19,6,5,54.5
190,Jonathan Bamba,fr FRA,"MF,FW",Lille,fr Ligue 1,25,1996,27,30,12,13,9,8,13,36,36.1,23,24,1,23,21,51,10,0,1,51,12,23.5,1.89,0.44,0.02,0.08,19.9,2,0,0,3.9,3.9,0.08,-2.9,-2.9,88,3.26,46,25,9,3,4,1,7,0.26,5,0,1,1,0,0,866,1148,75.4,13258,4314,511,587,87.1,235,301,78.1,79,154,51.3,2,4.3,4.8,-2.3,46,76,34,8,87,31,28,2428,1,3,0,0.04,0.07,0.11,0.04,0.11,8.2,0.15,0.16,0.31,0.15,0.31,1003,139,33,3,4,115,37,69,27,33,0,6,37,1489,16,187,681,649,78,1489,34,103,33,76,57,1054,124,0,11,56,14,12,0,0,0,169,16,19,45.7
191,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,27,1993,6.2,1,0,0,1,0,0,3,0,3,8,2,6,2,3,8,0,2,20,5,25,3.22,0.81,0.1,0.4,14,0,0,0,2.9,2.9,0.14,-0.9,-0.9,13,2.09,9,0,1,2,1,0,3,0.48,2,0,1,0,0,0,88,108,81.5,1103,200,60,68,88.2,20,25,80,3,6,50,2,1,0.4,1,5,5,6,1,8,9,7,559,2,2,0,0.32,0.32,0.64,0.32,0.64,3.8,0.46,0.16,0.62,0.46,0.62,89,19,0,1,0,3,1,0,0,0,0,0,3,174,10,16,83,76,32,174,4,7,57.1,18,3,108,24,0,5,5,5,0,0,0,0,12,5,14,26.3
192,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,26,1995,21.7,33,20,10,17,6,15,31,48.4,16,22,5,17,10,43,37,2,2,35,11,31.4,1.61,0.51,0.06,0.18,19.9,0,0,0,2.9,2.9,0.08,-0.9,-0.9,58,2.67,46,4,3,3,1,1,4,0.18,4,0,0,0,0,0,537,733,73.3,8769,3104,273,315,86.7,197,256,77,46,96,47.9,3,4.1,2.8,-1.1,32,60,41,13,85,35,24,1955,2,10,0,0.09,0.14,0.23,0.09,0.23,7,0.13,0.19,0.32,0.13,0.32,700,26,4,4,6,68,14,6,1,1,0,7,21,968,54,215,417,351,44,968,17,39,43.6,40,25,619,60,0,53,18,5,20,0,1,0,117,12,31,27.9
193,Mattia Bani,it ITA,DF,Genoa,it Serie A,27,1993,13.5,23,13,17,6,0,14,18,77.8,4,19,11,8,20,43,76,0,0,9,1,11.1,0.67,0.07,0,0,10.5,0,0,0,1.2,1.2,0.13,-1.2,-1.2,5,0.37,4,0,0,1,0,0,0,0,0,0,0,0,0,0,333,469,71,6336,2700,123,151,81.5,166,201,82.6,36,96,37.5,0,0.1,0.1,-0.1,3,16,0,0,19,17,13,1211,0,1,0,0,0,0,0,0,1.3,0.09,0.01,0.1,0.09,0.1,425,42,34,0,0,1,0,0,0,0,0,2,7,640,127,382,239,25,18,640,1,1,100,8,0,261,1,0,14,19,0,13,0,0,0,70,42,27,60.9
194,Simon Banza,fr FRA,FW,Lens,fr Ligue 1,24,1996,1.4,2,1,0,0,2,0,2,0,2,1,0,1,1,3,2,0,1,6,4,66.7,4.35,2.9,0.17,0.25,15.5,0,0,0,1.1,1.1,0.18,-0.1,-0.1,4,2.9,3,0,0,0,0,1,2,1.45,1,0,0,0,0,1,18,31,58.1,296,70,10,16,62.5,5,8,62.5,2,3,66.7,1,0.5,0.6,0.5,2,1,0,0,1,4,1,124,1,0,0,0.73,0.73,1.45,0.73,1.45,1.6,0.79,0.34,1.13,0.79,1.13,29,1,0,0,1,1,0,0,0,0,0,1,1,49,2,3,16,32,5,49,4,6,66.7,2,3,36,7,0,3,7,0,1,0,0,0,5,6,5,54.5
195,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,23,1998,10.1,14,4,9,4,1,6,15,40,9,10,0,10,11,25,12,0,1,12,4,33.3,1.19,0.4,0.08,0.25,20.1,0,0,0,1,1,0.08,0,0,22,2.17,17,0,4,1,0,0,1,0.1,1,0,0,0,0,0,257,308,83.4,3885,900,140,156,89.7,85,99,85.9,17,30,56.7,0,0.8,0.5,-0.8,9,21,6,1,20,22,9,910,1,2,1,0.1,0,0.1,0.1,0.1,1.7,0.09,0.07,0.17,0.09,0.17,305,3,1,0,0,8,2,0,0,0,0,0,3,419,15,83,216,126,15,419,19,28,67.9,21,12,270,29,1,6,11,1,4,0,0,0,62,7,18,28
196,Antonín Barák,cz CZE,"MF,FW",Hellas Verona,it Serie A,26,1994,26,18,8,9,8,1,5,17,29.4,12,32,5,27,6,24,26,0,11,47,20,42.6,1.81,0.77,0.15,0.35,15.7,2,4,4,9.8,6.7,0.14,1.2,0.3,70,2.69,57,1,4,6,2,0,9,0.35,6,0,1,1,1,0,876,1107,79.1,11982,3508,520,610,85.2,275,331,83.1,33,52,63.5,4,3.5,3.1,0.5,28,81,22,1,94,29,27,2340,7,4,0,0.42,0.15,0.58,0.27,0.42,10.2,0.38,0.13,0.51,0.26,0.39,1081,17,5,2,4,13,6,0,0,0,0,9,37,1367,40,183,722,481,89,1363,31,55,56.4,42,54,1026,100,0,27,17,3,8,1,0,0,156,41,68,37.6
197,Barbero,es ESP,"FW,MF",Osasuna,es La Liga,22,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,4.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,11,63.6,59,7,5,8,62.5,1,2,50,0,0,,0,0,0,0,0,1,0,0,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,18,1,1,6,11,3,18,0,0,,5,2,14,3,0,2,1,0,0,0,0,0,0,2,2,50
198,Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,25,1996,1,0,0,0,0,0,0,0,,0,1,1,0,2,2,10,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42,76.2,596,204,10,12,83.3,17,19,89.5,4,8,50,0,0,0,0,0,1,0,0,2,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,1,0,0,0,0,0,0,0,0,0,0,60,12,32,28,0,0,60,0,0,,4,0,35,0,0,0,0,0,0,0,0,0,2,4,5,44.4
199,Barcia,es ESP,DF,Granada,es La Liga,20,2000,0.8,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,36.4,167,11,2,4,50,5,10,50,1,8,12.5,0,0,0,0,0,0,0,0,0,1,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,26,1,13,12,1,0,26,0,0,,0,1,8,0,0,0,0,0,0,0,0,0,6,1,1,50
200,Bradley Barcola,fr FRA,"FW,MF",Lyon,fr Ligue 1,18,2002,2.9,7,4,2,3,2,1,8,12.5,7,7,1,6,2,9,1,1,0,5,2,40,1.71,0.68,0,0,13,0,0,0,0.5,0.5,0.11,-0.5,-0.5,11,3.74,9,0,1,1,0,0,2,0.68,2,0,0,0,0,0,57,81,70.4,759,237,38,49,77.6,13,22,59.1,2,3,66.7,1,0.8,1,0.2,6,3,7,3,11,11,2,263,0,0,0,0,0.34,0.34,0,0.34,1.3,0.18,0.28,0.45,0.18,0.45,80,1,0,0,0,4,0,0,0,0,0,0,5,122,5,24,44,58,16,122,2,8,25,6,3,66,19,0,5,0,1,4,0,0,0,16,5,5,50
201,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,20,2000,28.8,59,37,38,17,4,41,63,65.1,22,33,10,23,51,110,56,0,2,5,2,40,0.17,0.07,0.4,1,17.2,0,0,0,0.9,0.9,0.18,1.1,1.1,45,1.56,40,3,1,0,0,1,4,0.14,4,0,0,0,0,0,1508,1878,80.3,24327,8654,790,882,89.6,560,677,82.7,112,206,54.4,2,3,2.4,-1,22,111,22,13,113,33,30,2589,2,3,0,0.07,0.07,0.14,0.07,0.14,3.9,0.03,0.1,0.14,0.03,0.14,1578,297,30,0,4,87,267,0,0,0,0,3,39,2140,86,592,1202,386,14,2140,22,37,59.5,41,17,1286,46,0,21,30,1,37,0,0,0,226,41,31,56.9
202,Enis Bardhi,mk MKD,"MF,FW",Levante,es La Liga,26,1995,18.9,29,12,12,14,3,12,35,34.3,23,13,2,11,10,39,7,0,3,41,8,19.5,2.17,0.42,0.02,0.13,24.3,9,2,2,4.2,2.6,0.06,-1.2,-1.6,83,4.39,44,23,3,8,5,0,5,0.26,2,2,1,0,0,0,529,749,70.6,8708,2774,278,330,84.2,153,220,69.5,66,130,50.8,3,4.4,3,-1.4,42,54,17,1,60,30,17,1701,1,3,0,0.16,0.16,0.32,0.05,0.21,7,0.22,0.24,0.46,0.14,0.37,639,103,32,9,15,87,15,52,17,21,0,7,19,982,12,124,423,449,40,980,38,74,51.4,52,32,661,73,0,33,44,4,12,0,1,0,95,6,8,42.9
203,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,49,67.3,748,587,10,10,100,12,12,100,10,25,40,0,0,0,0,0,0,0,0,0,2,2,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,5,0,0,0,0,0,0,0,0,1,0,54,49,54,0,0,0,54,0,0,,0,0,22,0,0,0,1,0,0,0,0,0,0,1,0,100
204,Keidi Bare,al ALB,MF,Espanyol,es La Liga,23,1997,16.5,27,17,14,12,1,11,31,35.5,20,20,10,10,15,42,26,1,1,4,1,25,0.24,0.06,0.25,1,13.2,0,0,0,0.4,0.4,0.09,0.6,0.6,20,1.21,18,0,1,0,1,0,2,0.12,1,0,0,0,1,0,761,886,85.9,12983,3403,351,387,90.7,308,343,89.8,72,94,76.6,1,0.9,0.5,0.1,8,81,6,1,59,25,18,1481,1,9,0,0.06,0.06,0.12,0.06,0.12,1.3,0.02,0.05,0.08,0.02,0.08,845,36,34,2,15,7,2,0,0,0,0,5,12,1032,51,273,632,135,15,1032,9,16,56.3,11,11,700,11,0,25,29,0,17,1,0,0,90,13,30,30.2
205,Nicolò Barella,it ITA,MF,Inter,it Serie A,24,1997,32.4,63,42,17,35,11,29,55,52.7,26,26,2,24,21,84,8,2,3,68,12,17.6,2.1,0.37,0.04,0.25,20.5,0,0,0,5.6,5.6,0.08,-2.6,-2.6,140,4.32,116,0,10,6,6,2,21,0.65,18,0,1,1,1,0,1554,1876,82.8,24817,7894,824,916,90,552,641,86.1,125,191,65.4,11,9,7.5,2,64,191,84,16,179,36,36,2913,3,9,0,0.09,0.34,0.43,0.09,0.43,14.7,0.17,0.28,0.45,0.17,0.45,1836,31,17,11,15,66,14,0,0,0,0,9,44,2194,29,342,1132,756,90,2194,37,64,57.8,56,38,1690,140,0,30,52,4,42,1,0,0,190,22,24,47.8
206,Kike Barja,es ESP,"MF,FW",Osasuna,es La Liga,24,1997,9.6,15,11,4,7,4,8,22,36.4,14,10,1,9,9,24,4,0,2,17,6,35.3,1.77,0.62,0.12,0.33,18.9,0,0,0,1.4,1.4,0.08,0.6,0.6,21,2.18,12,0,2,2,4,1,2,0.21,0,0,0,1,1,0,249,374,66.6,3893,923,142,172,82.6,78,121,64.5,20,42,47.6,0,0.5,0.6,-0.5,5,23,8,0,25,21,9,865,2,2,0,0.21,0,0.21,0.21,0.21,1.9,0.14,0.05,0.19,0.14,0.19,355,16,3,1,4,55,11,2,0,0,0,3,14,516,5,48,213,264,32,516,34,57,59.6,37,28,386,53,0,17,23,0,11,0,0,0,65,9,11,45
